Fecha_2020,Valor_2020,Fecha_2021,Valor_2021,Fecha_2022,Valor_2022
2020-02-28,22.504444444444445,2021-02-26,28.081944444444446,2022-03-02,28.26388888888889
2020-03-02,28.631249999999998,2021-02-27,29.676388888888887,2022-03-03,27.9625
2020-03-03,28.280555555555555,2021-02-28,28.912499999999998,2022-03-04,29.877777777777776
2020-03-04,29.311888111888113,2021-03-01,28.81597222222222,2022-03-05,31.272916666666667
2020-03-05,28.555555555555557,2021-03-02,29.292361111111113,2022-03-06,31.21527777777778
2020-03-06,28.22937062937063,2021-03-03,29.008333333333333,2022-03-07,31.99930555555555
2020-03-07,29.66041666666667,2021-03-04,25.69097222222222,2022-03-08,28.493750000000002
2020-03-08,29.825000000000003,2021-03-05,25.66111111111111,2022-03-09,29.953472222222224
2020-03-09,31.368750000000002,2021-03-06,26.265972222222224,2022-03-10,28.91944444444444
2020-03-10,32.358333333333334,2021-03-07,26.464583333333334,2022-03-11,23.645833333333332
2020-03-11,32.12361111111111,2021-03-08,26.25,2022-03-12,23.794444444444444
2020-03-12,32.25277777777777,2021-03-09,26.015972222222224,2022-03-13,24.368055555555557
2020-03-13,33.11527777777778,2021-03-10,26.12986111111111,2022-03-14,23.14236111111111
2020-03-14,33.78402777777777,2021-03-11,26.700000000000003,2022-03-15,23.487499999999997
2020-03-15,31.33636363636364,2021-03-12,26.84652777777778,2022-03-16,24.946527777777778
2020-03-16,28.72847222222222,2021-03-13,27.228472222222223,2022-03-17,26.956249999999997
2020-03-17,30.872222222222224,2021-03-14,28.251388888888886,2022-03-18,28.92361111111111
2020-03-18,28.525694444444444,2021-03-15,28.474305555555556,2022-03-19,23.525694444444444
2020-03-19,25.1625,2021-03-16,29.494444444444444,2022-03-20,22.765277777777776
2020-03-20,24.2125,2021-03-17,23.764583333333334,2022-03-21,26.813888888888886
2020-03-21,23.62152777777778,2021-03-18,23.644444444444446,2022-03-22,26.835416666666667
2020-03-22,25.560416666666665,2021-03-19,24.93472222222222,2022-03-23,23.10486111111111
2020-03-23,29.166666666666668,2021-03-20,28.369444444444444,2022-03-24,25.782638888888886
2020-03-24,28.649305555555557,2021-03-21,24.997916666666665,2022-03-25,21.135416666666668
2020-03-25,28.84791666666667,2021-03-22,24.872916666666665,2022-03-26,20.95763888888889
2020-03-26,29.693055555555556,2021-03-23,26.084027777777777,2022-03-27,23.288194444444443
2020-03-27,27.600694444444443,2021-03-24,28.427083333333332,2022-03-28,24.864583333333332
2020-03-28,23.544444444444444,2021-03-25,29.017482517482517,2022-03-29,28.631944444444443
2020-03-29,27.720833333333335,2021-03-26,29.946527777777778,2022-03-30,22.9125
2020-03-30,29.46527777777778,2021-03-27,25.828472222222224,2022-03-31,17.00347222222222
2020-03-31,30.29444444444444,2021-03-28,22.382638888888888,2022-04-01,17.950694444444444
2020-04-01,30.477777777777778,2021-03-29,22.25,2022-04-02,21.005555555555556
2020-04-02,26.244444444444444,2021-03-30,22.400694444444444,2022-04-03,26.131944444444443
2020-04-03,20.688194444444445,2021-03-31,22.356250000000003,2022-04-04,24.593055555555555
2020-04-04,21.01118881118881,2021-04-01,22.9125,2022-04-05,23.036805555555556
2020-04-05,27.293055555555554,2021-04-02,23.37777777777778,2022-04-06,25.561805555555555
2020-04-06,26.851388888888888,2021-04-03,24.686805555555555,2022-04-07,24.352777777777778
2020-04-07,21.705882352941178,2021-04-04,27.282638888888886,2022-04-08,22.884027777777778
2020-04-12,22.725,2021-04-05,27.427777777777777,2022-04-09,23.977083333333333
2020-04-13,23.622916666666665,2021-04-06,23.70486111111111,2022-04-10,27.228472222222223
2020-04-14,18.818055555555556,2021-04-07,25.751388888888886,2022-04-11,25.279166666666665
2020-04-15,17.356944444444444,2021-04-08,27.639583333333334,2022-04-12,22.325000000000003
2020-04-16,18.502083333333335,2021-04-09,29.141666666666666,2022-04-13,23.725694444444443
2020-04-17,19.486713286713286,2021-04-10,29.834722222222222,2022-04-14,20.21597222222222
2020-04-18,20.438888888888886,2021-04-11,26.269444444444446,2022-04-15,17.677777777777777
2020-04-19,24.333333333333332,2021-04-12,20.522916666666667,2022-04-16,18.61388888888889
2020-04-20,25.532638888888886,2021-04-13,22.63611111111111,2022-04-17,21.124305555555555
2020-04-21,26.154166666666665,2021-04-14,24.740277777777777,2022-04-18,21.563888888888886
2020-04-22,25.70763888888889,2021-04-15,26.259722222222223,2022-04-19,22.595138888888886
2020-04-23,26.714583333333334,2021-04-16,23.913888888888888,2022-04-20,24.316666666666666
2020-04-24,27.688194444444445,2021-04-17,24.925694444444446,2022-04-21,22.806944444444444
2020-04-25,29.210416666666667,2021-04-18,24.484027777777776,2022-04-22,23.76388888888889
2020-04-26,30.105555555555554,2021-04-19,24.93402777777778,2022-04-23,22.881944444444443
2020-04-27,29.833333333333332,2021-04-20,25.45763888888889,2022-04-24,25.90138888888889
2020-04-28,28.095833333333335,2021-04-21,25.813194444444445,2022-04-25,28.699305555555554
2020-04-29,26.797222222222224,2021-04-22,23.630555555555556,2022-04-26,30.037499999999998
2020-04-30,25.88125,2021-04-23,24.650694444444444,2022-04-27,30.07642857142857
2020-05-01,23.55902777777778,2021-04-24,20.694444444444443,2022-04-28,28.375694444444445
2020-05-02,22.345833333333335,2021-04-25,20.46875,2022-04-29,21.234027777777776
2020-05-03,23.42638888888889,2021-04-26,18.427083333333332,2022-04-30,21.9125
2020-05-04,27.335416666666667,2021-04-27,17.79513888888889,2022-05-01,22.865277777777777
2020-05-05,27.21388888888889,2021-04-28,17.813194444444445,2022-05-02,21.461805555555557
2020-05-06,17.79236111111111,2021-04-29,18.021527777777777,2022-05-03,17.566666666666666
2020-05-07,13.878472222222221,2021-04-30,20.873611111111114,2022-05-04,17.297916666666666
2020-05-08,15.471527777777778,2021-05-01,23.492361111111112,2022-05-05,18.36111111111111
2020-05-09,18.836111111111112,2021-05-02,25.438194444444445,2022-05-06,19.81527777777778
2020-05-10,24.84652777777778,2021-05-03,28.07986111111111,2022-05-07,20.165277777777778
2020-05-11,26.96875,2021-05-04,27.93125,2022-05-08,19.405555555555555
2020-05-12,22.511805555555554,2021-05-05,20.05902777777778,2022-05-09,19.78611111111111
2020-05-13,21.47361111111111,2021-05-06,15.256250000000001,2022-05-10,19.286805555555556
2020-05-14,18.52013888888889,2021-05-07,13.991666666666667,2022-05-11,18.09722222222222
2020-05-15,15.88041958041958,2021-05-08,16.169444444444444,2022-05-12,17.179861111111112
2020-05-16,16.592361111111114,2021-05-09,22.11111111111111,2022-05-13,18.85763888888889
2020-05-17,20.209027777777777,2021-05-10,24.218055555555555,2022-05-14,19.865972222222222
2020-05-18,21.961805555555557,2021-05-11,17.54513888888889,2022-05-15,18.797222222222224
2020-05-19,24.280555555555555,2021-05-12,16.413888888888888,2022-05-16,15.477083333333333
2020-05-20,26.938194444444445,2021-05-13,15.697222222222223,2022-05-17,13.45486111111111
2020-05-21,27.07986111111111,2021-05-14,19.62152777777778,2022-05-18,12.990972222222222
2020-05-22,17.456249999999997,2021-05-15,20.479166666666668,2022-05-19,14.25486111111111
2020-05-23,13.20486111111111,2021-05-16,21.67013888888889,2022-05-20,13.2375
2020-05-24,12.776388888888889,2021-05-17,21.83263888888889,2022-05-21,16.105555555555554
2020-05-25,14.795833333333333,2021-05-18,20.525694444444444,2022-05-22,16.68125
2020-05-26,15.95972222222222,2021-05-19,22.866666666666667,2022-05-23,18.810416666666665
2020-05-27,16.81736111111111,2021-05-20,25.938194444444445,2022-05-24,23.220833333333335
2020-05-28,19.793055555555554,2021-05-21,27.227083333333333,2022-05-25,24.669444444444444
2020-05-29,21.38611111111111,2021-05-22,18.90625,2022-05-26,22.831249999999997
2020-05-30,23.228472222222223,2021-05-23,15.472916666666666,2022-05-27,20.450694444444444
2020-05-31,19.14513888888889,2021-05-24,14.494444444444444,2022-05-28,21.799305555555556
2020-06-01,13.32986111111111,2021-05-25,16.70486111111111,2022-05-29,20.374305555555555
2020-06-02,13.534027777777778,2021-05-26,19.99513888888889,2022-05-30,16.725
2020-06-03,15.511805555555554,2021-05-27,21.714583333333334,2022-05-31,12.109027777777778
2020-06-04,18.074305555555554,2021-05-28,26.138194444444444,2022-06-01,12.0625
2020-06-05,14.975694444444445,2021-05-29,21.416666666666668,2022-06-02,13.058333333333334
2020-06-06,14.919444444444444,2021-05-30,17.438888888888886,2022-06-03,11.605555555555556
2020-06-07,17.208333333333332,2021-05-31,15.078472222222224,2022-06-04,16.80972222222222
2020-06-08,23.777083333333334,2021-06-01,18.820138888888888,2022-06-05,23.22152777777778
2020-06-09,25.002857142857142,2021-06-02,24.424999999999997,2022-06-06,21.952777777777776
2020-06-10,24.745833333333334,2021-06-03,25.069444444444443,2022-06-07,18.074305555555554
2020-06-11,26.961805555555557,2021-06-04,27.365972222222222,2022-06-08,17.877083333333335
2020-06-12,27.900694444444444,2021-06-05,26.204166666666666,2022-06-09,17.119444444444444
2020-06-13,22.613194444444446,2021-06-06,20.99652777777778,2022-06-10,15.859722222222224
2020-06-14,14.844444444444443,2021-06-07,20.828472222222224,2022-06-11,10.740579710144928
2020-06-15,21.031944444444445,2021-06-08,20.790277777777778,2022-06-12,10.189583333333333
2020-06-16,24.48888888888889,2021-06-09,21.27638888888889,2022-06-13,12.099305555555555
2020-06-17,25.505594405594408,2021-06-10,20.887500000000003,2022-06-14,16.029166666666665
2020-06-18,26.57638888888889,2021-06-11,18.105555555555554,2022-06-15,19.420833333333334
2020-06-19,27.206249999999997,2021-06-12,16.793055555555554,2022-06-16,20.938888888888886
2020-06-20,28.089583333333334,2021-06-13,18.619444444444444,2022-06-17,20.02013888888889
2020-06-21,27.352777777777778,2021-06-14,19.959027777777777,2022-06-18,13.18888888888889
2020-06-22,27.109027777777776,2021-06-15,18.629166666666666,2022-06-19,13.42013888888889
2020-06-23,27.29513888888889,2021-06-16,15.993055555555555,2022-06-20,18.929861111111112
2020-06-24,26.265277777777776,2021-06-17,13.084027777777777,2022-06-21,24.37847222222222
2020-06-25,19.833566433566432,2021-06-18,12.118055555555555,2022-06-22,18.875694444444445
2020-06-26,12.283333333333333,2021-06-19,12.950694444444444,2022-06-23,14.768852459016394
2020-06-27,12.186805555555557,2021-06-20,14.623611111111112,2022-06-24,15.691666666666666
2020-06-28,14.17361111111111,2021-06-21,15.172222222222224,2022-06-25,16.345138888888886
2020-06-29,21.320833333333333,2021-06-22,16.204166666666666,2022-06-26,16.464583333333334
2020-06-30,21.281944444444445,2021-06-23,22.522222222222222,2022-06-27,20.14513888888889
2020-07-01,13.835416666666667,2021-06-24,21.37152777777778,2022-06-28,19.902083333333334
2020-07-02,11.747222222222222,2021-06-25,16.9375,2022-06-29,15.29861111111111
2020-07-03,11.8,2021-06-26,23.589583333333334,2022-06-30,15.960416666666667
2020-07-04,18.438888888888886,2021-06-27,12.697222222222223,2022-07-01,21.458333333333332
2020-07-05,24.87986111111111,2021-06-28,10.285416666666666,2022-07-02,24.25486111111111
2020-07-06,18.486805555555556,2021-06-29,8.740972222222222,2022-07-03,21.77638888888889
2020-07-07,15.114583333333334,2021-06-30,9.481944444444444,2022-07-04,26.416666666666668
2020-07-08,11.818750000000001,2021-07-01,13.459027777777777,2022-07-05,25.635416666666668
2020-07-09,11.893055555555556,2021-07-02,17.775,2022-07-06,24.424305555555556
2020-07-10,17.09861111111111,2021-07-03,17.044444444444444,2022-07-07,25.093055555555555
2020-07-11,24.978472222222223,2021-07-04,18.579166666666666,2022-07-08,24.3375
2020-07-12,22.33263888888889,2021-07-05,21.938888888888886,2022-07-09,26.218055555555555
2020-07-13,19.495833333333334,2021-07-06,22.5,2022-07-10,26.575000000000003
2020-07-14,14.636111111111111,2021-07-07,21.799305555555556,2022-07-11,24.873611111111114
2020-07-15,16.44236111111111,2021-07-08,22.428472222222222,2022-07-12,15.827777777777776
2020-07-16,23.52638888888889,2021-07-09,22.65347222222222,2022-07-13,14.944444444444445
2020-07-17,25.390972222222224,2021-07-10,23.804166666666667,2022-07-14,24.09652777777778
2020-07-18,26.847916666666666,2021-07-11,25.02847222222222,2022-07-15,26.620833333333334
2020-07-19,26.94236111111111,2021-07-12,24.618055555555557,2022-07-16,17.158333333333335
2020-07-20,26.068055555555556,2021-07-13,25.59375,2022-07-17,12.566666666666666
2020-07-21,26.781944444444445,2021-07-14,25.46527777777778,2022-07-18,13.994444444444445
2020-07-22,27.28611111111111,2021-07-15,18.407638888888886,2022-07-19,18.137500000000003
2020-07-23,26.213194444444444,2021-07-16,15.710416666666667,2022-07-20,23.71875
2020-07-24,14.797222222222224,2021-07-17,15.87986111111111,2022-07-21,25.55625
2020-07-25,11.675694444444444,2021-07-18,12.881250000000001,2022-07-22,25.988194444444446
2020-07-26,12.934027777777779,2021-07-19,9.390277777777778,2022-07-23,26.615972222222222
2020-07-27,22.356250000000003,2021-07-20,10.56388888888889,2022-07-24,27.016666666666666
2020-07-28,16.543055555555554,2021-07-21,16.785416666666666,2022-07-25,27.711111111111112
2020-07-29,10.291666666666666,2021-07-22,21.147916666666667,2022-07-26,26.920833333333334
2020-07-30,12.020833333333334,2021-07-23,24.394444444444446,2022-07-27,26.893749999999997
2020-07-31,21.211805555555557,2021-07-24,26.070833333333333,2022-07-28,23.968055555555555
2020-08-01,24.208333333333332,2021-07-25,26.955555555555556,2022-07-29,15.613194444444446
2020-08-02,25.794444444444444,2021-07-26,25.316666666666666,2022-07-30,14.861805555555556
2020-08-03,24.71388888888889,2021-07-27,14.502083333333335,2022-07-31,18.456944444444446
2020-08-04,25.693055555555556,2021-07-28,9.636805555555556,2022-08-01,21.379166666666666
2020-08-05,25.464583333333334,2021-07-29,9.122222222222222,2022-08-02,26.610416666666666
2020-08-06,25.469444444444445,2021-07-30,10.731944444444444,2022-08-03,27.813888888888886
