,Fecha_dir,Valor_direccion,fecha_vel,Valor_veloc
88,2022-04-03,87.63888888888889,2022-04-03,6.065972222222222
89,2022-04-04,139.27777777777777,2022-04-04,8.886111111111111
90,2022-04-05,119.61111111111111,2022-04-05,9.93125
91,2022-04-06,113.28472222222224,2022-04-06,7.513194444444445
92,2022-04-07,136.20833333333334,2022-04-07,16.429861111111112
93,2022-04-08,145.22916666666666,2022-04-08,9.006944444444445
94,2022-04-09,119.30555555555556,2022-04-09,5.081944444444444
95,2022-04-10,98.27777777777776,2022-04-10,8.15763888888889
96,2022-04-11,91.92361111111111,2022-04-11,15.632638888888888
97,2022-04-12,138.14583333333334,2022-04-12,16.168055555555554
98,2022-04-13,150.65277777777777,2022-04-13,16.379166666666666
99,2022-04-14,155.20833333333334,2022-04-14,21.657638888888886
