fecha_vel,Valor_veloc
2022-07-10,13.061805555555557
2022-07-11,15.413888888888888
2022-07-12,18.541666666666668
2022-07-13,7.9312499999999995
2022-07-14,10.347916666666666
2022-07-15,9.764583333333333
2022-07-16,18.55763888888889
2022-07-17,9.952083333333333
2022-07-18,9.206944444444444
2022-07-19,7.061805555555555
2022-07-20,7.992361111111112
2022-07-21,10.436805555555557
2022-07-22,9.659027777777778
2022-07-23,6.292361111111111
2022-07-24,9.511805555555556
2022-07-25,10.629166666666666
2022-07-26,7.157638888888889
2022-07-27,6.772916666666666
2022-07-28,13.620138888888889
2022-07-29,15.689583333333335
2022-07-30,5.894444444444444
2022-07-31,4.575694444444444
2022-08-01,5.663194444444445
2022-08-02,12.330555555555556
2022-08-03,9.147222222222222
2022-08-04,17.533333333333335
2022-08-05,16.347916666666666
